Datetime,Temperature
2016-01-03 02:05:00+00:00,28.4
2016-01-03 06:18:00+00:00,33.8
2016-01-06 13:45:00+00:00,17.6
2016-01-06 14:05:00+00:00,19.4
2016-01-06 14:17:00+00:00,17.6
2016-01-06 14:33:00+00:00,19.4
2016-01-22 04:09:00+00:00,23.0
2016-02-01 04:51:00+00:00,37.4
2016-02-01 05:26:00+00:00,37.4
2016-02-11 21:08:00+00:00,33.8
2016-02-11 21:24:00+00:00,33.8
2016-02-12 03:18:00+00:00,37.4
2016-02-12 13:26:00+00:00,42.8
2016-02-12 13:40:00+00:00,41.0
2016-02-12 14:21:00+00:00,39.2
2016-02-13 14:33:00+00:00,30.2
2016-02-25 15:02:00+00:00,41.0
2016-02-25 15:09:00+00:00,41.0
2016-02-26 07:02:00+00:00,51.8
2016-02-28 13:45:00+00:00,37.4
2016-03-02 01:30:00+00:00,55.4
2016-03-04 11:14:00+00:00,69.8
2016-03-04 13:40:00+00:00,48.2
2016-03-05 04:55:00+00:00,55.4
2016-03-10 04:13:00+00:00,42.8
2016-03-10 04:26:00+00:00,42.8
2016-03-10 06:02:00+00:00,44.6
2016-03-11 04:44:00+00:00,51.8
2016-03-12 09:44:00+00:00,48.2
2016-03-31 22:25:00+00:00,62.6
2016-04-01 02:47:00+00:00,75.2
2016-04-03 08:12:00+00:00,62.6
2016-04-03 08:15:00+00:00,62.6
2016-04-08 21:03:00+00:00,53.6
2016-04-09 00:16:00+00:00,55.4
2016-04-09 01:22:00+00:00,68.0
2016-04-12 16:10:00+00:00,51.8
2016-04-12 16:40:00+00:00,50.0
2016-04-12 17:42:00+00:00,50.0
2016-04-12 18:11:00+00:00,50.0
2016-04-12 19:28:00+00:00,46.4
2016-04-12 20:19:00+00:00,48.2
2016-04-12 21:23:00+00:00,46.4
2016-04-13 17:34:00+00:00,53.6
2016-04-15 21:32:00+00:00,59.0
2016-04-17 19:04:00+00:00,51.8
2016-04-17 19:18:00+00:00,55.4
2016-04-18 00:26:00+00:00,59.0
2016-04-18 03:16:00+00:00,64.4
2016-04-18 03:40:00+00:00,64.4
2016-04-18 03:49:00+00:00,64.4
2016-04-18 06:35:00+00:00,66.2
2016-04-20 18:11:00+00:00,55.4
2016-04-20 19:09:00+00:00,55.4
2016-04-21 18:04:00+00:00,59.0
2016-04-22 03:31:00+00:00,77.0
2016-04-22 03:41:00+00:00,77.0
2016-04-29 19:42:00+00:00,71.6
2016-05-02 03:34:00+00:00,77.0
2016-05-02 03:39:00+00:00,73.4
2016-05-02 04:18:00+00:00,60.8
2016-05-06 05:21:00+00:00,71.6
2016-05-12 01:38:00+00:00,73.4
2016-05-12 01:50:00+00:00,62.6
2016-05-12 20:46:00+00:00,41.0
2016-05-12 21:04:00+00:00,42.8
2016-05-12 21:22:00+00:00,41.0
2016-05-18 06:05:00+00:00,86.0
2016-06-07 06:46:00+00:00,73.4
2016-06-07 22:34:00+00:00,64.4
2016-06-08 00:17:00+00:00,73.4
2016-06-10 16:26:00+00:00,77.0
2016-06-10 18:33:00+00:00,68.0
2016-06-11 02:50:00+00:00,82.4
2016-06-13 08:28:00+00:00,82.4
2016-06-13 08:49:00+00:00,82.4
2016-06-13 09:16:00+00:00,68.0
2016-06-13 09:20:00+00:00,68.0
2016-06-13 17:05:00+00:00,71.6
2016-06-13 19:37:00+00:00,66.2
2016-06-13 20:19:00+00:00,66.2
2016-06-14 07:37:00+00:00,80.6
2016-06-14 08:02:00+00:00,75.2
2016-06-14 08:06:00+00:00,71.6
2016-06-14 08:11:00+00:00,69.8
2016-06-14 08:27:00+00:00,69.8
2016-06-14 09:10:00+00:00,69.8
2016-06-14 09:31:00+00:00,68.0
2016-06-17 10:44:00+00:00,87.8
2016-06-19 15:05:00+00:00,82.4
2016-06-19 15:12:00+00:00,80.6
2016-06-19 15:32:00+00:00,77.0
2016-06-19 16:34:00+00:00,73.4
2016-06-19 17:06:00+00:00,69.8
2016-06-19 17:22:00+00:00,69.8
2016-06-19 18:36:00+00:00,71.6
2016-06-21 09:09:00+00:00,89.6
2016-06-21 09:43:00+00:00,80.6
2016-06-21 11:36:00+00:00,71.6
2016-06-21 12:38:00+00:00,71.6
2016-06-21 13:17:00+00:00,71.6
2016-06-22 14:37:00+00:00,82.4
2016-06-22 14:44:00+00:00,82.4
2016-06-22 15:25:00+00:00,78.8
2016-06-22 15:54:00+00:00,78.8
2016-06-22 16:28:00+00:00,78.8
2016-06-22 16:45:00+00:00,78.8
2016-06-22 23:19:00+00:00,77.0
2016-06-22 23:27:00+00:00,75.2
2016-06-22 23:39:00+00:00,73.4
2016-06-23 00:34:00+00:00,68.0
2016-06-23 05:15:00+00:00,69.8
2016-06-23 18:13:00+00:00,66.2
2016-06-23 18:43:00+00:00,66.2
2016-06-30 05:19:00+00:00,95.0
2016-06-30 06:02:00+00:00,91.4
2016-06-30 06:33:00+00:00,91.4
2016-06-30 07:25:00+00:00,78.8
2016-06-30 14:27:00+00:00,77.0
2016-06-30 14:37:00+00:00,77.0
2016-06-30 14:44:00+00:00,75.2
2016-06-30 14:46:00+00:00,75.2
2016-06-30 15:14:00+00:00,69.8
2016-06-30 15:28:00+00:00,69.8
2016-06-30 15:49:00+00:00,69.8
2016-06-30 16:29:00+00:00,69.8
2016-07-03 05:11:00+00:00,87.8
2016-07-03 05:23:00+00:00,84.2
2016-07-03 05:39:00+00:00,75.2
2016-07-03 05:49:00+00:00,73.4
2016-07-03 06:03:00+00:00,71.6
2016-07-03 06:06:00+00:00,71.6
2016-07-03 06:10:00+00:00,71.6
2016-07-04 22:10:00+00:00,68.0
2016-07-05 00:15:00+00:00,68.0
2016-07-09 14:06:00+00:00,78.8
2016-07-09 14:32:00+00:00,78.8
2016-07-19 17:31:00+00:00,75.2
2016-07-20 02:09:00+00:00,80.6
2016-07-21 12:30:00+00:00,78.8
2016-07-21 13:21:00+00:00,77.0
2016-07-21 15:35:00+00:00,77.0
2016-07-23 07:44:00+00:00,96.8
2016-07-24 03:16:00+00:00,96.8
2016-07-26 21:31:00+00:00,69.8
2016-07-30 06:10:00+00:00,95.0
2016-07-30 06:37:00+00:00,89.6
2016-07-30 06:53:00+00:00,80.6
2016-07-30 07:18:00+00:00,82.4
2016-07-30 08:33:00+00:00,84.2
2016-07-31 21:24:00+00:00,78.8
2016-07-31 21:45:00+00:00,77.0
2016-07-31 22:16:00+00:00,75.2
2016-07-31 22:35:00+00:00,73.4
2016-07-31 23:14:00+00:00,75.2
2016-07-31 23:50:00+00:00,75.2
2016-08-01 00:16:00+00:00,73.4
2016-08-01 02:08:00+00:00,75.2
2016-08-06 06:14:00+00:00,86.0
2016-08-06 06:45:00+00:00,84.2
2016-08-06 09:17:00+00:00,75.2
2016-08-07 02:21:00+00:00,78.8
2016-08-08 23:23:00+00:00,75.2
2016-08-09 00:18:00+00:00,77.0
2016-08-18 22:23:00+00:00,78.8
